ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(¯C),Water Temp(¯C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
615664689,Photo,White-capped Albatross (steadi),Thalassarche cauta steadi,,Martin  Flack,11-04-2015,2015,4,11,730,South Africa,ZA-WC,Western Cape,,Cape Town Pelagic--Offshore Trawling Grounds (Do not log harbour/coastal birds here),-34.7009774,18.2894898,,,Unspecified,,,,,,,,,S65007239,,,,,,Thalassarche cauta,whcalb3,Group,6842,,0,0,,2387,3580
615664687,Photo,White-capped Albatross (steadi),Thalassarche cauta steadi,,Martin  Flack,11-04-2015,2015,4,11,730,South Africa,ZA-WC,Western Cape,,Cape Town Pelagic--Offshore Trawling Grounds (Do not log harbour/coastal birds here),-34.7009774,18.2894898,,,Unspecified,,,,,,,,,S65007239,,,,,,Thalassarche cauta,whcalb3,Group,6842,,0,0,,2188,3282
615664688,Photo,White-capped Albatross (steadi),Thalassarche cauta steadi,,Martin  Flack,11-04-2015,2015,4,11,730,South Africa,ZA-WC,Western Cape,,Cape Town Pelagic--Offshore Trawling Grounds (Do not log harbour/coastal birds here),-34.7009774,18.2894898,,,Unspecified,,,,,,,,,S65007239,,,,,,Thalassarche cauta,whcalb3,Group,6842,,0,0,,2365,2620
615663782,Photo,White-capped Albatross,Thalassarche cauta,,S Nightingale,05-03-2024,2024,3,5,1446,New Zealand,NZ-MBH-053,Marlborough,Marlborough District,Cook Strait,-41.2616223,174.4101339,,,Unspecified,,,,,,,,,S163761778,,,,,,Thalassarche cauta,whcalb1,Species,6840,,0,0,,2146,2760
615663781,Photo,White-capped Albatross,Thalassarche cauta,,S Nightingale,05-03-2024,2024,3,5,1446,New Zealand,NZ-MBH-053,Marlborough,Marlborough District,Cook Strait,-41.2616223,174.4101339,,,Unspecified,,,,,,,,,S163761778,,,,,,Thalassarche cauta,whcalb1,Species,6840,,0,0,,1375,1928
615638931,Photo,White-capped Albatross (steadi),Thalassarche cauta steadi,,Lutz Schmechta,05-11-2022,2022,11,5,1913,New Zealand,NZ-STL-073,Southland,Southland District,Stewart Island--Titi Islands Pelagic (general),-46.89398,168.23638,,,Unspecified,,,,,,,,,S163709782,,,,,,Thalassarche cauta,whcalb3,Group,6842,,0,0,,2912,5184
615638930,Photo,White-capped Albatross (steadi),Thalassarche cauta steadi,,Lutz Schmechta,05-11-2022,2022,11,5,1913,New Zealand,NZ-STL-073,Southland,Southland District,Stewart Island--Titi Islands Pelagic (general),-46.89398,168.23638,,,Unspecified,,,,,,,,,S163709782,,,,,,Thalassarche cauta,whcalb3,Group,6842,,0,0,,2912,5184
615638929,Photo,White-capped Albatross (steadi),Thalassarche cauta steadi,,Lutz Schmechta,05-11-2022,2022,11,5,1913,New Zealand,NZ-STL-073,Southland,Southland District,Stewart Island--Titi Islands Pelagic (general),-46.89398,168.23638,,,Unspecified,,,,,,,,,S163709782,,,,,,Thalassarche cauta,whcalb3,Group,6842,,0,0,,2912,5184
615630468,Audio,White-capped Albatross,Thalassarche cauta,,Ting-Wei (??) HUNG (?),04-02-2024,2024,2,4,709,Australia,AU-TAS-TAS,Tasmania,Tasman,Eaglehawk Neck Pelagic Trip,-43.0906763,148.3212687,,,Unspecified,,,,,iPhone se3,,,,S160828530,,,,,2 inshore; 2 offshore; 54 pelagic.,Thalassarche cauta,whcalb1,Species,6840,,0,0,,,
615572546,Photo,White-capped Albatross,Thalassarche cauta,,Duncan Wallace,10-10-2023,2023,10,10,1300,New Zealand,NZ-CAN-054,Canterbury,Kaikoura District,Kiakoura,-42.451152,173.644006,,,Unspecified,,,,,,,,,S163523268,,,,,,Thalassarche cauta,whcalb1,Species,6840,,0,0,,3607,6412
615572547,Photo,White-capped Albatross,Thalassarche cauta,,Duncan Wallace,10-10-2023,2023,10,10,1300,New Zealand,NZ-CAN-054,Canterbury,Kaikoura District,Kiakoura,-42.451152,173.644006,,,Unspecified,,,,,,,,,S163523268,,,,,,Thalassarche cauta,whcalb1,Species,6840,,0,0,,4549,6065
615555170,Photo,White-capped Albatross,Thalassarche cauta,,Ryan Burnett,27-09-2008,2008,9,27,730,Australia,AU-NSW-SHE,New South Wales,Shellharbour,Wollongong Pelagic,-34.7047031,151.2070141,,,Unspecified,,,,,,,,,S34943031,,,,,,Thalassarche cauta,whcalb1,Species,6840,,0,0,,2592,3872
615554575,Photo,White-capped Albatross,Thalassarche cauta,,Ryan Burnett,27-09-2008,2008,9,27,730,Australia,AU-NSW-SHE,New South Wales,Shellharbour,Wollongong Pelagic,-34.7047031,151.2070141,,,Unspecified,,,,,,,,,S34943031,,,,,,Thalassarche cauta,whcalb1,Species,6840,,0,0,,2592,3872
615554493,Photo,White-capped Albatross,Thalassarche cauta,,Ryan Burnett,27-09-2008,2008,9,27,730,Australia,AU-NSW-SHE,New South Wales,Shellharbour,Wollongong Pelagic,-34.7047031,151.2070141,,,Unspecified,,,,,,,,,S34943031,,,,,,Thalassarche cauta,whcalb1,Species,6840,,0,0,,2592,3872
615554463,Photo,White-capped Albatross,Thalassarche cauta,,Ryan Burnett,27-09-2008,2008,9,27,730,Australia,AU-NSW-SHE,New South Wales,Shellharbour,Wollongong Pelagic,-34.7047031,151.2070141,,,Unspecified,,,,,,,,,S34943031,,,,,,Thalassarche cauta,whcalb1,Species,6840,,0,0,,2592,3872
615674261,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Kenya Forests Audiomoth Project,10-02-2024,2024,2,10,0,Kenya,KE-700,Rift Valley,,Ol Doinyo Orok,-2.4852747,36.7687941,,,Unspecified,,,,,,,,,S163796099,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,4,1,,,
615640804,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Kenya Forests Audiomoth Project,26-02-2024,2024,2,26,0,Kenya,KE-700,Rift Valley,,Ol Doinyo Orok,-2.4852747,36.7687941,,,Unspecified,,,,,,,,,S163718283,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,,
615623212,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Alfrey,08-07-2019,2019,7,8,740,Uganda,UG-W,Western,,Bigodi Swamp,0.4047742,30.4055214,,,Unspecified,,,,,,,,,S58413081,,,,,Male and female.,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,2280,3333
615623211,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Alfrey,08-07-2019,2019,7,8,740,Uganda,UG-W,Western,,Bigodi Swamp,0.4047742,30.4055214,,,Unspecified,,,,,,,,,S58413081,,,,,Male and female.,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1007,1527
615623210,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Alfrey,08-07-2019,2019,7,8,740,Uganda,UG-W,Western,,Bigodi Swamp,0.4047742,30.4055214,,,Unspecified,,,,,,,,,S58413081,,,,,Male and female.,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,852,1390
615573149,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Dale Forbes,10-11-2023,2023,11,10,509,South Africa,ZA-NL,Kwazulu-Natal,,St Lucia--iGwalagwala Trail,-28.3855824,32.407608,,Song,Unspecified,,,,,,,,,S154183620,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,5,1,,,
615530077,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Preston Whitt,29-02-2024,2024,2,29,814,Kenya,KE-400,Eastern,,Ngare Ndare Forest--Canopy walk,0.1720342,37.3361136,,,Unspecified,,,,,,,,,S163407382,,,,,Immature? Head seems more striped than a female Klaas,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1080,1440
615530078,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Preston Whitt,29-02-2024,2024,2,29,814,Kenya,KE-400,Eastern,,Ngare Ndare Forest--Canopy walk,0.1720342,37.3361136,,,Unspecified,,,,,,,,,S163407382,,,,,Immature? Head seems more striped than a female Klaas,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1080,1440
615530079,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Preston Whitt,29-02-2024,2024,2,29,814,Kenya,KE-400,Eastern,,Ngare Ndare Forest--Canopy walk,0.1720342,37.3361136,,,Unspecified,,,,,,,,,S163407382,,,,,Immature? Head seems more striped than a female Klaas,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1080,1440
615530076,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Preston Whitt,29-02-2024,2024,2,29,814,Kenya,KE-400,Eastern,,Ngare Ndare Forest--Canopy walk,0.1720342,37.3361136,,,Unspecified,,,,,,,,,S163407382,,,,,Immature? Head seems more striped than a female Klaas,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1080,1440
615383491,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Dave Rimmer,24-01-2024,2024,1,24,1000,South Africa,ZA-NL,Kwazulu-Natal,,24b Leslie Road,-29.7626614,30.7595848,,,Unspecified,,,,,,,,,S159666251,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,5,1,,,
615383490,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Dave Rimmer,24-01-2024,2024,1,24,1000,South Africa,ZA-NL,Kwazulu-Natal,,24b Leslie Road,-29.7626614,30.7595848,,,Unspecified,,,,,,,,,S159666251,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,4,1,,,
615383487,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Dave Rimmer,24-01-2024,2024,1,24,1000,South Africa,ZA-NL,Kwazulu-Natal,,24b Leslie Road,-29.7626614,30.7595848,,,Unspecified,,,,,,,,,S159666251,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,4,1,,600,900
615314774,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Kavouras,10-02-2024,2024,2,10,613,Ghana,GH-EP,Eastern,,Atewa Range--upland forest & ridge,6.2413908,-0.5536509,,,Unspecified,,,,,,,,,S161101552,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1125,1688
615314776,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Kavouras,10-02-2024,2024,2,10,613,Ghana,GH-EP,Eastern,,Atewa Range--upland forest & ridge,6.2413908,-0.5536509,,,Unspecified,,,,,,,,,S161101552,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1248,1872
615314773,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Kavouras,10-02-2024,2024,2,10,613,Ghana,GH-EP,Eastern,,Atewa Range--upland forest & ridge,6.2413908,-0.5536509,,,Unspecified,,,,,,,,,S161101552,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,988,1482
615314775,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Kavouras,10-02-2024,2024,2,10,613,Ghana,GH-EP,Eastern,,Atewa Range--upland forest & ridge,6.2413908,-0.5536509,,,Unspecified,,,,,,,,,S161101552,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1180,1770
615293155,Photo,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,,Ian Rijsdijk,05-11-2021,2021,11,5,829,South Africa,ZA-WC,Western Cape,,Piesang Valley and Estuary,-34.063461,23.361647,,,Unspecified,,,,,,,,,S162852298,,,,,,Chrysococcyx cupreus,afecuc2,Group,3296,,0,0,,865,865
615240603,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Chad Vanden Bosch,24-02-2024,2024,2,24,813,Mozambique,MZ-B,Manica,,New Harvest Farm,-19.0591371,33.7364911,,,Unspecified,,,,,,,,,S162705782,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,,
615240510,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Chad Vanden Bosch,24-02-2024,2024,2,24,813,Mozambique,MZ-B,Manica,,New Harvest Farm,-19.0591371,33.7364911,,,Unspecified,,,,,,,,,S162705782,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,623,897
615221804,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Fikret Ata?alan,24-09-2023,2023,9,24,710,Tanzania,TZ-18,Mwanza,,Wag Hill Lodge,-2.604,32.875,,,Unspecified,,,,,,,,,S150706183,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,2320,3480
615221805,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Fikret Ata?alan,24-09-2023,2023,9,24,710,Tanzania,TZ-18,Mwanza,,Wag Hill Lodge,-2.604,32.875,,,Unspecified,,,,,,,,,S150706183,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,2373,3560
615209425,Photo,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,,Sheryl Gracewski,21-02-2024,2024,2,21,620,Ghana,GH-CP,Central,,"Abrafo Forest Reserve, Central Region, GH",5.3511683,-1.395475,,,Unspecified,,,,,,,,,S162467905,,,,,,Chrysococcyx cupreus,afecuc2,Group,3296,,0,0,,1057,1056
615094420,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Charley Herzfeld,20-02-2024,2024,2,20,826,Botswana,BW-NW,North-West,,Drotsky's Cabins,-18.4147578,21.8799738,,,Unspecified,,,,,,,,,S162353043,,,,,Identified by ?pretty georgie? call. Bright green cuckoo with yellow belly.  Recording and photo (by Errol deBeer) to be attached.,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,,
615094418,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Charley Herzfeld,20-02-2024,2024,2,20,826,Botswana,BW-NW,North-West,,Drotsky's Cabins,-18.4147578,21.8799738,,,Unspecified,,,,,,,,,S162353043,,,,,Identified by ?pretty georgie? call. Bright green cuckoo with yellow belly.  Recording and photo (by Errol deBeer) to be attached.,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,,
615043460,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,RÅdiger Reitz,09-10-2017,2017,10,9,630,Uganda,UG-W,Western,,Bigodi Community Walk,0.4056754,30.4100919,,,Unspecified,,,,,,,,,S162209314,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1967,2951
615030217,Photo,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,,kwame brown,05-02-2024,2024,2,5,630,Ghana,GH-CP,Central,,Kakum NP--headquarters,5.3521859,-1.3915979,,,Unspecified,,,,,,,,,S162155610,,,,,,Chrysococcyx cupreus,afecuc2,Group,3296,,5,1,,3456,4608
614996940,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Gavin Ailes,18-02-2024,2024,2,18,615,Ghana,GH-CP,Central,,Kakum NP--entrance area,5.3504018,-1.3809417,,,Unspecified,,,,,,,,,S162062710,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,558,744
614920544,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Stamatis Zogaris,11-02-2024,2024,2,11,700,Kenya,KE-200,Central,,Mt. Kenya NP--Castle Forest and Lodge,-0.3793113,37.3103573,,,Unspecified,,,,,,,,,S161762814,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,2921,3841
614515039,Photo,African Emerald Cuckoo,Chrysococcyx cupreus,,Simon Hitchen,25-11-2022,2022,11,25,630,Ghana,GH-EP,Eastern,,Atewa Range--upland forest & ridge,6.2413908,-0.5536509,,,Unspecified,,,,,,,,,S123425063,,,,,,Chrysococcyx cupreus,afecuc1,Species,3295,,0,0,,1506,1491
